Disease,AUROC,F1,Support
DR,0.9692891972993248,0.788135593220339,124
ARMD,0.9617034800572064,0.6545454545454545,31
MH,0.9753695464982779,0.8173076923076923,104
DN,0.7768628312106574,0.0425531914893617,46
MYA,0.9961451480263158,0.8571428571428571,32
BRVO,0.9121978718906348,0.6486486486486487,23
TSLN,0.9523319726141879,0.5957446808510638,53
ERM,0.8840944881889763,0.0,5
LS,0.8955733333333333,0.2222222222222222,15
MS,0.9447077409162716,0.0,7
CSR,0.9478591583854743,0.13333333333333333,13
ODC,0.877399467563402,0.5112781954887218,91
CRVO,0.9445324881141046,0.631578947368421,9
TV,0.5242946708463949,0.0,2
AH,0.9732283464566929,0.3333333333333333,5
ODP,0.7955898268398268,0.21428571428571427,24
ODE,0.9564724766311019,0.75,17
ST,0.3612852664576802,0.0,2
AION,0.7055817610062893,0.0,4
PT,0.7688679245283019,0.0,4
RT,0.9348031496062993,0.0,5
RS,0.9480830670926517,0.5,14
CRS,0.9118369706605001,0.0,11
EDN,0.8867924528301887,0.0,4
RPEC,0.9198113207547169,0.0,4
MHL,0.815279958137101,0.0,3
RP,0.9216300940438871,0.0,2
